event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2026-03-01T00:00:00Z,146210,103028,86593,71071,43182,41506,40941,58794,44897
2026-03-01T01:00:00Z,152839,89853,100758,62102,62986,35384,34910,75000,61724
2026-03-01T02:00:00Z,150554,91801,104316,65973,58753,41024,40581,78834,66650
2026-03-01T03:00:00Z,147118,107657,93445,75731,39461,44026,43579,60202,47815
2026-03-01T04:00:00Z,148043,106269,93663,73965,41774,44643,44183,63571,50589
2026-03-01T05:00:00Z,152802,110511,98646,75945,42291,45543,45133,67082,53480
2026-03-01T06:00:00Z,150587,105747,95904,71445,44840,42099,41665,65724,51671
2026-03-01T07:00:00Z,149670,109160,95330,74456,40510,46527,46125,63931,49910
2026-03-01T08:00:00Z,150825,109551,94500,74302,41274,47413,46989,65992,50890
2026-03-01T09:00:00Z,152922,109562,95532,74516,43360,49418,48995,68526,53271
2026-03-01T10:00:00Z,151494,107570,94195,71826,43924,46156,45738,65932,50673
2026-03-01T11:00:00Z,149851,109230,95064,74738,40621,49625,49216,66635,51223
2026-03-01T12:00:00Z,160418,105385,121103,79519,55033,51063,50684,90996,78108
2026-03-01T13:00:00Z,160986,111998,119938,83585,48988,52876,52512,86891,73302
2026-03-01T14:00:00Z,160432,124960,113702,92666,35472,58850,58423,76653,61580
2026-03-01T15:00:00Z,158073,122068,112339,90071,36005,55582,55143,73944,59243
2026-03-01T16:00:00Z,155430,121294,109276,89070,34136,54608,54218,72686,57985
2026-03-01T17:00:00Z,156004,121563,111616,91091,34441,55744,55358,72131,58344
2026-03-01T18:00:00Z,157531,119807,114361,90982,37724,56015,55589,78363,65200
2026-03-01T19:00:00Z,153112,115114,103170,82968,37998,51816,51416,68844,54860
2026-03-01T20:00:00Z,153329,113213,103957,83216,40116,51685,51229,71327,56986
2026-03-01T21:00:00Z,157151,108046,100095,76957,49105,44730,44279,66039,50859
2026-03-01T22:00:00Z,153908,107021,96763,75793,46887,47292,46856,67928,52805
2026-03-01T23:00:00Z,152668,108694,95227,75358,43974,46248,45820,64424,50314
2026-03-02T00:00:00Z,146821,100228,86526,69184,46593,43091,42581,63096,47914
2026-03-02T01:00:00Z,158143,98693,110832,71915,59450,44381,43876,83779,69736
2026-03-02T02:00:00Z,155438,100809,106664,71075,54629,44141,43665,78954,64498
2026-03-02T03:00:00Z,151677,115154,90334,77455,36523,51655,51140,64307,47887
2026-03-02T04:00:00Z,153854,111408,93978,76032,42446,49170,48645,67236,51717
2026-03-02T05:00:00Z,150745,112545,96197,77314,38200,51628,51146,69653,54229
2026-03-02T06:00:00Z,151480,110061,91456,73772,41419,52316,51809,70456,52725
2026-03-02T07:00:00Z,151285,112561,92925,74420,38724,53981,53452,71843,53879
2026-03-02T08:00:00Z,155750,115555,103942,83513,40195,58904,58351,76867,60528
2026-03-02T09:00:00Z,153691,111558,104939,85686,42133,57739,57222,75899,61021
2026-03-02T10:00:00Z,152946,118119,107627,87349,34827,60544,60005,79645,63615
2026-03-02T11:00:00Z,151140,117464,105184,85342,33676,58470,57946,75563,59810
2026-03-02T12:00:00Z,158623,112675,117354,84013,45948,54944,54373,86764,71951
2026-03-02T13:00:00Z,158258,113146,121564,86737,45112,57844,57320,91467,77463
2026-03-02T14:00:00Z,154644,123080,111658,91559,31564,62983,62442,80951,64968
2026-03-02T15:00:00Z,145724,117635,106072,87855,28089,61994,61453,77808,62532
2026-03-02T16:00:00Z,151312,122747,110524,92466,28565,62610,62063,79095,63948
2026-03-02T17:00:00Z,158653,127499,119064,99068,31154,65800,65239,84514,69945
2026-03-02T18:00:00Z,157110,120531,117407,93039,36579,60326,59741,84108,70016
2026-03-02T19:00:00Z,149994,116714,104147,85142,33280,57285,56738,74527,59555
2026-03-02T20:00:00Z,146657,112105,97757,79121,34552,53818,53261,71354,56117
2026-03-02T21:00:00Z,155718,118739,105682,85797,36979,56540,56007,74716,59771
2026-03-02T22:00:00Z,150165,110568,98213,77344,39597,50642,50057,69287,54377
2026-03-02T23:00:00Z,147787,108063,93967,75008,39724,49893,49344,66567,52387
2026-03-03T00:00:00Z,151227,106239,93007,72533,44988,46515,45900,64155,48774
2026-03-03T01:00:00Z,154875,99514,112023,71610,55361,45259,44757,82982,69076
2026-03-03T02:00:00Z,155219,106425,114512,77585,48794,50731,50254,84394,70937
2026-03-03T03:00:00Z,147788,117429,91786,78140,30359,52441,51912,64041,48005
2026-03-03T04:00:00Z,148297,113084,93944,75389,35213,49813,49269,67392,52232
2026-03-03T05:00:00Z,147814,110308,94064,73362,37506,50595,50090,69296,53555
2026-03-03T06:00:00Z,146454,110677,91514,71376,35777,50602,50074,69177,51979
2026-03-03T07:00:00Z,152872,121011,101611,82932,31861,59029,58515,74556,58126
2026-03-03T08:00:00Z,151595,121211,102635,84517,30384,61251,60711,76730,59760
