event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2026-01-01T00:00:00Z,137016,86996,92033,65661,50020,32504,32061,57360,47932
2026-01-01T01:00:00Z,147113,66960,98539,48899,80153,23464,23081,75486,63479
2026-01-01T02:00:00Z,138067,80217,95123,60154,57850,31001,30630,64994,55223
2026-01-01T03:00:00Z,135300,86180,86282,62062,49120,30746,30407,54191,43852
2026-01-01T04:00:00Z,137578,85058,92383,63153,52520,33450,33109,58592,48384
2026-01-01T05:00:00Z,137230,85484,91079,62334,51746,28971,28611,49459,39129
2026-01-01T06:00:00Z,141618,91973,100142,69707,49645,37544,37204,63709,53602
2026-01-01T07:00:00Z,141271,96177,98635,71736,45094,37460,37137,55133,44793
2026-01-01T08:00:00Z,141463,97669,98270,73043,43794,38174,37832,57819,47119
2026-01-01T09:00:00Z,147497,101622,101520,75616,45875,41250,40905,60505,49109
2026-01-01T10:00:00Z,148580,102463,102306,74517,46117,36972,36654,57703,46139
2026-01-01T11:00:00Z,150223,91609,94563,70043,58614,39998,39681,66767,45314
2026-01-01T12:00:00Z,154719,90171,115695,66616,64548,39528,39196,85165,74166
2026-01-01T13:00:00Z,154932,90915,103398,67846,64017,41225,40868,78448,61525
2026-01-01T14:00:00Z,153120,96058,94934,73727,57062,44177,43822,72382,49174
2026-01-01T15:00:00Z,146728,103812,97679,73330,42916,42800,42378,61649,48077
2026-01-01T16:00:00Z,150439,107805,99521,77216,42634,47565,47203,66149,52024
2026-01-01T17:00:00Z,150572,107712,100283,77599,42860,45600,45223,62328,48909
2026-01-01T18:00:00Z,151422,100456,101026,74112,50966,43134,42745,68989,54754
2026-01-01T19:00:00Z,155281,102304,98683,75406,52977,41599,41254,60999,45823
2026-01-01T20:00:00Z,145299,97029,94862,69446,48270,35897,35554,56607,43903
2026-01-01T21:00:00Z,149374,95989,95383,70201,53385,39751,39397,60665,47027
2026-01-01T22:00:00Z,146361,88993,91010,67506,57368,35404,35090,61799,43712
2026-01-01T23:00:00Z,143095,99401,99642,74698,43694,37298,36974,54069,44487
2026-01-02T00:00:00Z,141754,100193,104649,76138,41561,38282,37904,63873,55193
2026-01-02T01:00:00Z,146603,85947,111182,61780,60656,31281,30932,78492,69518
2026-01-02T02:00:00Z,142450,101416,106654,76550,41034,38968,38624,67109,57948
2026-01-02T03:00:00Z,139463,108089,100852,80767,31374,41386,41044,58652,48735
2026-01-02T04:00:00Z,140575,102595,103016,76122,37980,40492,40155,61458,51619
2026-01-02T05:00:00Z,142265,105243,104713,78848,37022,41898,41543,59344,48999
2026-01-02T06:00:00Z,145930,107611,105743,78708,38319,42611,42255,65729,54387
2026-01-02T07:00:00Z,145961,112196,107121,83252,33765,46638,46268,61859,50746
2026-01-02T08:00:00Z,146761,113825,103968,82609,32936,48678,48305,66034,53520
2026-01-02T09:00:00Z,149778,113766,104143,80234,36012,48849,48424,66161,52777
2026-01-02T10:00:00Z,143659,109483,98442,75681,34176,47285,46900,64431,50979
2026-01-02T11:00:00Z,145901,112495,102176,79624,33406,48428,48044,62992,49937
2026-01-02T12:00:00Z,156841,102271,119358,74638,54570,47208,46807,88624,76369
2026-01-02T13:00:00Z,150729,107320,111090,77331,43409,49914,49510,80049,66827
2026-01-02T14:00:00Z,149442,117566,101239,81072,31876,51604,51194,66424,51246
2026-01-02T15:00:00Z,147685,116070,100859,80217,31615,53771,53346,69893,54960
2026-01-02T16:00:00Z,151514,118275,100862,80728,33239,53561,53066,69757,55109
2026-01-02T17:00:00Z,148156,115376,100603,80739,32780,52480,51975,67489,53456
2026-01-02T18:00:00Z,151803,113629,106388,80314,38174,50325,49811,73204,60104
2026-01-02T19:00:00Z,143104,109211,100907,77788,33893,44088,43630,58188,46374
2026-01-02T20:00:00Z,148632,110510,104419,80231,38122,43665,43261,61512,50233
2026-01-02T21:00:00Z,145539,106925,102281,76463,38614,41784,41412,59023,48327
2026-01-02T22:00:00Z,144361,106308,101736,76342,38053,38297,37875,56613,46420
2026-01-02T23:00:00Z,142628,105914,104271,78750,36714,41458,41033,57622,48817
2026-01-03T00:00:00Z,143767,96096,103391,70196,47671,33504,33046,63567,54313
2026-01-03T01:00:00Z,150736,84596,115957,63141,66140,35778,35383,85251,76381
2026-01-03T02:00:00Z,143264,100093,106799,75802,43171,37766,37416,65089,55726
2026-01-03T03:00:00Z,139471,104190,102289,77684,35281,39751,39397,61354,51158
2026-01-03T04:00:00Z,142999,103382,106195,77512,39617,41638,41228,63470,53359
2026-01-03T05:00:00Z,139250,100225,101032,73170,39025,36344,35980,54757,44767
2026-01-03T06:00:00Z,141990,104738,104960,76262,37252,43241,42884,66523,55803
2026-01-03T07:00:00Z,143762,110070,107622,82442,33692,45533,45227,61127,50347
2026-01-03T08:00:00Z,146469,111948,105705,81480,34521,44945,44595,63026,51542
2026-01-03T09:00:00Z,147970,108963,106847,79924,39007,46025,45666,64082,51922
2026-01-03T10:00:00Z,145152,108072,104804,77763,37080,44139,43811,62628,50790
2026-01-03T11:00:00Z,147263,112989,109033,83353,34274,49089,48785,63586,51990
2026-01-03T12:00:00Z,157614,99905,123382,74496,57709,45640,45298,90226,78767
2026-01-03T13:00:00Z,150771,104341,114868,77684,46430,47045,46717,78027,66133
2026-01-03T14:00:00Z,153148,120519,110457,87721,32629,53624,53283,68549,55266
2026-01-03T15:00:00Z,148047,115616,104727,81387,32431,49002,48680,65492,52243
2026-01-03T16:00:00Z,146581,115971,105549,84544,30610,52832,52488,69091,56023
2026-01-03T17:00:00Z,149905,116597,106592,84715,33308,49256,48912,64823,51926
2026-01-03T18:00:00Z,149172,110340,109018,80890,38832,47141,46805,70676,58691
2026-01-03T19:00:00Z,145028,110770,104789,80256,34258,42851,42528,58484,47611
2026-01-03T20:00:00Z,144980,109877,107601,81855,35103,45074,44734,62856,52582
2026-01-03T21:00:00Z,145696,107683,108500,80744,38013,43382,43044,60697,51162
2026-01-03T22:00:00Z,142842,106260,106412,79321,36582,41036,40703,58952,49768
2026-01-03T23:00:00Z,144050,107626,108298,81127,36424,40788,40462,56620,48233
2026-01-04T00:00:00Z,135323,97033,96980,71671,38290,35097,34642,57300,47833
2026-01-04T01:00:00Z,149858,90065,115467,66345,59793,37759,37362,84130,74160
2026-01-04T02:00:00Z,143065,99520,105875,72681,43545,41626,41243,70739,59937
2026-01-04T03:00:00Z,136727,105790,97996,77966,30937,41198,40828,58168,47231
2026-01-04T04:00:00Z,139434,102364,103893,76148,37070,38660,38303,61572,51744
2026-01-04T05:00:00Z,143740,107354,105168,78360,36386,40410,40063,58925,48085
2026-01-04T06:00:00Z,147379,111138,106323,78840,36241,44865,44442,67625,55606
2026-01-04T07:00:00Z,143700,112225,103689,80000,31475,47909,47568,62385,50253
2026-01-04T08:00:00Z,143287,110855,100802,77926,32432,46425,46059,63368,50634
2026-01-04T09:00:00Z,149030,113406,104993,79468,35624,46392,46030,62888,49557
2026-01-04T10:00:00Z,146767,111905,106036,80493,34862,47741,47383,65049,52796
2026-01-04T11:00:00Z,146826,114925,105940,82389,31901,48175,47847,63303,50444
2026-01-04T12:00:00Z,154812,100956,120424,74409,53856,47248,46923,89324,77501
2026-01-04T13:00:00Z,156248,109834,117899,80584,46414,49086,48722,79731,67158
2026-01-04T14:00:00Z,155491,124164,110786,88717,31327,53236,52888,68270,53841
2026-01-04T15:00:00Z,152776,119866,108944,85444,32910,51482,51087,68186,53967
2026-01-04T16:00:00Z,152123,121455,108087,87250,30668,53513,53132,69875,56134
2026-01-04T17:00:00Z,150668,119511,108106,87254,31157,52358,51987,66889,53997
2026-01-04T18:00:00Z,147283,110376,106586,79272,36907,46315,45942,69182,56699
2026-01-04T19:00:00Z,147934,115156,107349,83767,32778,47296,46969,61614,50455
2026-01-04T20:00:00Z,145345,111448,105669,81504,33897,45383,45025,62500,51762
2026-01-04T21:00:00Z,144477,109342,106078,80925,35135,44868,44514,60969,50880
2026-01-04T22:00:00Z,144297,108572,106093,80536,35725,42541,42118,59643,49888
2026-01-04T23:00:00Z,142592,106580,106305,79813,36012,38837,38494,54550,45735
2026-01-05T00:00:00Z,139439,99514,97430,73783,39925,39235,38769,61307,50249
2026-01-05T01:00:00Z,148699,90256,106948,64916,58443,38933,38530,80357,67974
2026-01-05T02:00:00Z,148098,102478,103245,74153,45620,44639,44191,71904,58877
2026-01-05T03:00:00Z,146939,110757,99380,80117,36182,45221,44806,63070,50313
2026-01-05T04:00:00Z,144476,103519,100168,75027,40957,41168,40673,62956,50429
2026-01-05T05:00:00Z,145834,108178,99196,76726,37656,46499,45988,64378,50945
