event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2025-01-01T00:00:00Z,142347,78854,99748,55785,63493,22114,21808,62552,52419
2025-01-01T01:00:00Z,170960,77258,128836,54098,93702,22415,22132,91308,80757
2025-01-01T02:00:00Z,130356,77600,85718,52178,52756,20256,19985,49213,38220
2025-01-01T03:00:00Z,155884,87486,101381,56857,68398,21264,21007,49368,37576
2025-01-01T04:00:00Z,141011,88768,95090,59362,52243,22458,22224,45494,31327
2025-01-01T05:00:00Z,140309,91762,95432,59622,48547,24180,23951,46368,31800
2025-01-01T06:00:00Z,160133,99889,110956,64255,60244,27803,27536,64231,48162
2025-01-01T07:00:00Z,149305,102343,99598,64929,46962,28459,28205,48267,32575
2025-01-01T08:00:00Z,147528,102810,100379,66722,44718,29972,29719,51968,36470
2025-01-01T09:00:00Z,158102,103844,110716,68969,54258,31470,31236,55876,42395
2025-01-01T10:00:00Z,155750,106926,106609,70110,48824,32872,32643,53511,39227
2025-01-01T11:00:00Z,158512,111779,109318,73191,46733,34651,34421,50638,36305
2025-01-01T12:00:00Z,223540,117960,168413,77051,105580,37293,37036,103518,86793
2025-01-01T13:00:00Z,197224,127477,135899,78597,69747,40161,39915,83473,63039
2025-01-01T14:00:00Z,175304,130900,117052,82567,44404,43434,43190,60801,43255
2025-01-01T15:00:00Z,185049,130738,126564,83645,54311,43250,42998,69884,52364
2025-01-01T16:00:00Z,178036,130867,119489,84630,47169,42958,42707,63168,46152
2025-01-01T17:00:00Z,175988,131858,116331,82137,44130,43456,43183,58798,42351
2025-01-01T18:00:00Z,188459,126036,131500,82386,62423,40680,40416,73916,58405
2025-01-01T19:00:00Z,167103,117853,115992,79478,49250,35206,34966,51943,38104
2025-01-01T20:00:00Z,162106,112440,114027,75543,49666,33517,33256,53176,40173
2025-01-01T21:00:00Z,160796,105723,113486,71432,55073,31336,31080,55055,42625
2025-01-01T22:00:00Z,145196,97617,101133,65939,47579,29412,29151,46772,34861
2025-01-01T23:00:00Z,140988,95932,100587,66484,45056,29732,29500,45419,34915
2025-01-02T00:00:00Z,155248,96806,114031,66448,58442,29674,29383,72220,60697
2025-01-02T01:00:00Z,176796,104398,134013,70214,72398,33815,33525,92201,78475
2025-01-02T02:00:00Z,156413,114412,108341,74079,42001,35870,35611,63204,47230
2025-01-02T03:00:00Z,177206,123566,120807,77990,53640,35316,35051,59352,43425
