event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2016-01-01T00:00:00Z,13773,13773,8227,8227,0,5049,5049,5911,3630
2016-01-01T01:00:00Z,12698,12698,7482,7482,0,4803,4803,5685,3360
2016-01-01T02:00:00Z,12134,12134,7090,7090,0,4505,4505,5257,3048
2016-01-01T03:00:00Z,11954,11954,7059,7059,0,4410,4410,5198,2991
2016-01-01T04:00:00Z,11036,11036,6590,6590,0,4151,4151,4834,2739
2016-01-01T05:00:00Z,10578,10578,6309,6309,0,4002,4002,4706,2642
2016-01-01T06:00:00Z,10923,10923,6449,6449,0,4125,4125,4973,2794
2016-01-01T07:00:00Z,11195,11195,6660,6660,0,4182,4182,5028,2782
2016-01-01T08:00:00Z,11052,11052,6420,6420,0,4137,4137,5061,2719
2016-01-01T09:00:00Z,11990,11990,6873,6873,0,4455,4455,5450,2948
2016-01-01T10:00:00Z,12546,12546,7180,7180,0,4750,4750,5808,3183
2016-01-01T11:00:00Z,13003,13003,7553,7553,0,5189,5189,5966,3429
2016-01-01T12:00:00Z,14605,14605,8130,8130,0,5731,5731,6835,3763
2016-01-01T13:00:00Z,16099,16099,9048,9048,0,6337,6337,7489,4232
2016-01-01T14:00:00Z,17325,17325,9463,9463,0,7057,7057,8094,4578
2016-01-01T15:00:00Z,18330,18330,9901,9901,0,7620,7620,8544,4996
2016-01-01T16:00:00Z,18668,18668,10442,10442,0,7907,7907,8810,5174
2016-01-01T17:00:00Z,19133,19133,10564,10564,0,7878,7878,8744,5151
2016-01-01T18:00:00Z,18760,18760,10560,10560,0,7731,7731,8649,5102
2016-01-01T19:00:00Z,18930,18930,10517,10517,0,7726,7726,8680,5250
2016-01-01T20:00:00Z,19315,19315,10815,10815,0,7700,7700,8616,5317
2016-01-01T21:00:00Z,19282,19282,10638,10638,0,7818,7818,8800,5341
2016-01-01T22:00:00Z,19315,19315,11186,11186,0,7687,7687,8729,5289
2016-01-01T23:00:00Z,18482,18482,10683,10683,0,7267,7267,8173,5035
2016-01-02T00:00:00Z,16095,16095,9294,9294,0,6523,6523,7449,4474
2016-01-02T01:00:00Z,15681,15681,9025,9025,0,6072,6072,7044,4131
2016-01-02T02:00:00Z,15245,15245,8627,8627,0,6146,6146,7045,4152
2016-01-02T03:00:00Z,14945,14945,8428,8428,0,6149,6149,7069,4070
2016-01-02T04:00:00Z,14223,14223,8270,8270,0,5897,5897,6759,3965
2016-01-02T05:00:00Z,14145,14145,8149,8149,0,5779,5779,6523,3747
2016-01-02T06:00:00Z,14726,14726,8452,8452,0,5879,5879,6785,3910
2016-01-02T07:00:00Z,15209,15209,8601,8601,0,5838,5838,6830,3758
2016-01-02T08:00:00Z,14348,14348,7946,7946,0,5828,5828,6876,3677
2016-01-02T09:00:00Z,15038,15038,8668,8668,0,6112,6112,6929,3945
2016-01-02T10:00:00Z,15703,15703,8809,8809,0,6443,6443,7347,4161
2016-01-02T11:00:00Z,17113,17113,9632,9632,0,7091,7091,8069,4634
2016-01-02T12:00:00Z,17689,17689,10089,10089,0,7459,7459,8406,4849
2016-01-02T13:00:00Z,19524,19524,10736,10736,0,8338,8338,9212,5344
2016-01-02T14:00:00Z,21227,21227,11565,11565,0,8770,8770,9773,5698
2016-01-02T15:00:00Z,23089,23089,12663,12663,0,9664,9664,10770,6449
2016-01-02T16:00:00Z,24301,24301,12887,12887,0,9743,9743,11110,6563
2016-01-02T17:00:00Z,27806,27806,12421,12421,0,9591,9591,10634,6386
2016-01-02T18:00:00Z,24785,24785,12430,12430,0,9372,9372,10362,6183
2016-01-02T19:00:00Z,22091,22091,12022,12022,0,9142,9142,10020,6157
2016-01-02T20:00:00Z,21601,21601,11916,11916,0,8956,8956,9828,6045
2016-01-02T21:00:00Z,22321,22321,12171,12171,0,8860,8860,9959,6016
2016-01-02T22:00:00Z,22272,22272,12374,12374,0,8789,8789,9901,6162
2016-01-02T23:00:00Z,20397,20397,11531,11531,0,8102,8102,9109,5592
2016-01-03T00:00:00Z,19001,19001,10448,10448,0,7201,7201,8460,4836
2016-01-03T01:00:00Z,18645,18645,9396,9396,0,6891,6891,8228,4473
2016-01-03T02:00:00Z,16105,16105,8907,8907,0,6565,6565,7521,4364
2016-01-03T03:00:00Z,16286,16286,9143,9143,0,6544,6544,7499,4299
2016-01-03T04:00:00Z,15894,15894,8810,8810,0,6411,6411,7450,4238
