event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2022-01-01T00:00:00Z,84925,58547,53231,40312,26378,15414,15318,31635,23438
2022-01-01T01:00:00Z,79954,55904,50844,38955,24050,14452,14363,29136,21257
2022-01-01T02:00:00Z,74356,55485,45452,37814,18871,13910,13823,23380,15546
2022-01-01T03:00:00Z,80690,56742,47381,38967,23948,14119,14050,22562,14532
2022-01-01T04:00:00Z,79935,61564,50092,43514,18371,13993,13929,21736,13987
2022-01-01T05:00:00Z,74019,59107,49127,41498,14912,14569,14495,21622,13973
2022-01-01T06:00:00Z,76221,61067,49395,41933,15154,16040,15966,23937,15795
2022-01-01T07:00:00Z,83319,68094,53547,46731,15225,16985,16910,23639,14729
2022-01-01T08:00:00Z,86482,66960,53250,46169,19522,17766,17698,25587,16151
2022-01-01T09:00:00Z,81671,65009,50662,43534,16662,18387,18306,25983,16362
2022-01-01T10:00:00Z,82794,64911,49249,42098,17883,19197,19122,26652,16958
2022-01-01T11:00:00Z,90580,71854,54844,47353,18726,20622,20543,28318,17593
2022-01-01T12:00:00Z,103853,79321,63383,50347,24532,22602,22528,35730,23996
2022-01-01T13:00:00Z,103311,81799,60617,50019,21512,24780,24704,36099,23743
2022-01-01T14:00:00Z,102256,85932,60242,52489,16324,26841,26761,34722,22077
2022-01-01T15:00:00Z,100883,84882,60940,53652,16001,27357,27274,35935,22679
2022-01-01T16:00:00Z,107114,92526,63803,57871,14588,27373,27287,35490,22694
2022-01-01T17:00:00Z,105184,85819,61120,54105,19365,26798,26726,34990,22330
2022-01-01T18:00:00Z,99149,83176,61891,53724,15973,25720,25643,34746,22935
2022-01-01T19:00:00Z,95965,79186,58837,51514,16779,24101,24023,31847,20666
2022-01-01T20:00:00Z,93506,75911,55706,48440,17595,23359,23283,31250,20044
2022-01-01T21:00:00Z,88336,71886,49527,42347,16450,22182,22105,30112,19257
2022-01-01T22:00:00Z,82001,64902,47570,40463,17099,20640,20562,28458,18278
2022-01-01T23:00:00Z,84524,68234,53212,45779,16290,20375,20298,28804,19587
2022-01-02T00:00:00Z,89585,70375,60741,47998,19210,19554,19468,35423,26383
