event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2026-05-01T00:00:00Z,93460,69223,62062,50830,24237,32164,31633,43768,33672
2026-05-01T01:00:00Z,87050,61597,59497,45305,25453,28699,28239,43051,33775
2026-05-01T02:00:00Z,92859,62144,70542,48946,30715,30496,30114,51832,43782
2026-05-01T03:00:00Z,94984,52788,61832,44257,42196,27375,27051,44572,38670
2026-05-01T04:00:00Z,145585,106332,99138,80181,39253,44505,44055,60638,49281
2026-05-01T05:00:00Z,148771,117013,101103,85448,31758,48591,48099,62729,49537
2026-05-01T06:00:00Z,153457,119982,110452,91622,33475,51143,50634,68386,55216
2026-05-01T07:00:00Z,152754,119280,108154,89862,33474,50627,50104,67810,54493
2026-05-01T08:00:00Z,152072,119601,110650,90367,32471,49869,49378,70235,55700
2026-05-01T09:00:00Z,157037,112111,110151,91698,44926,50775,50328,66473,56596
2026-05-01T10:00:00Z,157555,115942,111519,93624,41613,53175,52724,68784,57644
2026-05-01T11:00:00Z,160168,123068,123596,101418,37100,54436,53997,73403,62847
2026-05-01T12:00:00Z,153452,117893,120844,95203,35559,52693,52227,74803,63506
2026-05-01T13:00:00Z,163959,117704,136291,99897,46255,53883,53430,86756,77038
2026-05-01T14:00:00Z,155655,122569,126957,103071,33086,56337,55877,76551,66192
2026-05-01T15:00:00Z,159145,129155,129560,108364,29990,59574,59101,76431,66224
2026-05-01T16:00:00Z,159314,108608,109992,91374,50706,53343,52947,69251,60124
2026-05-01T17:00:00Z,164715,126791,128402,106885,37924,58542,58093,76270,65791
2026-05-01T18:00:00Z,155319,123920,125384,104251,31399,57650,57134,75374,65011
2026-05-01T19:00:00Z,158348,125484,128198,104547,32864,54474,53970,74405,64500
2026-05-01T20:00:00Z,156103,121974,120195,98366,34129,50584,50046,68842,57866
2026-05-01T21:00:00Z,151100,115691,112805,90760,35409,50869,50317,68373,57014
2026-05-01T22:00:00Z,149238,111621,108030,85273,37617,46855,46349,65295,53862
2026-05-01T23:00:00Z,146064,109670,100615,80438,36394,44321,43836,60495,49259
2026-05-02T00:00:00Z,147286,108223,97600,78862,39063,42575,42021,58526,46376
2026-05-02T01:00:00Z,153143,105315,109564,79568,47828,42704,42213,70724,59378
2026-05-02T02:00:00Z,156340,102068,118765,78474,54272,39538,39090,77391,66813
2026-05-02T03:00:00Z,152274,109538,109295,81771,42736,42578,42114,68106,56353
2026-05-02T04:00:00Z,148714,117849,102330,86217,30865,46681,46229,60833,48548
2026-05-02T05:00:00Z,148475,116371,101529,84025,32104,47814,47333,63218,50063
2026-05-02T06:00:00Z,154432,123595,107909,88475,30837,49704,49224,69491,53525
2026-05-02T07:00:00Z,150808,118290,111687,90068,32518,50547,50084,69927,57589
2026-05-02T08:00:00Z,156807,124722,113173,93648,32085,53491,53027,69804,56707
2026-05-02T09:00:00Z,162834,106533,105474,85092,56301,45778,45393,63594,52636
2026-05-02T10:00:00Z,152029,115824,111968,90203,36205,50184,49750,68788,57069
2026-05-02T11:00:00Z,155153,126068,116355,96288,29085,54136,53731,70715,58522
2026-05-02T12:00:00Z,162109,123623,128870,99875,38486,55021,54638,81217,70451
2026-05-02T13:00:00Z,164821,123254,138149,102126,41567,54241,53886,87698,77364
2026-05-02T14:00:00Z,162177,132811,131382,108358,29366,58344,57982,78524,67260
2026-05-02T15:00:00Z,158547,112673,110859,93789,45874,54576,54251,69397,59901
2026-05-02T16:00:00Z,161694,129051,128647,107843,32643,59334,58960,76870,66711
2026-05-02T17:00:00Z,159957,126545,123000,103514,33412,56566,56189,73427,63115
2026-05-02T18:00:00Z,159207,129878,126902,105044,29329,56215,55779,75529,64939
2026-05-02T19:00:00Z,155412,125000,119462,97244,30412,52055,51636,70163,59399
2026-05-02T20:00:00Z,154143,120875,114280,92466,33268,48885,48464,66999,56375
2026-05-02T21:00:00Z,156158,121838,112458,90413,34320,47066,46601,64624,53206
2026-05-02T22:00:00Z,151203,116530,106734,84942,34673,43481,43049,60706,49753
2026-05-02T23:00:00Z,147362,114492,102775,81693,32870,40692,40301,57652,46852
2026-05-03T00:00:00Z,147892,104397,94732,77299,43495,39457,38948,54405,44096
2026-05-03T01:00:00Z,150180,105447,105989,78508,44733,41854,41355,66805,56156
2026-05-03T02:00:00Z,154598,102674,114067,78653,51924,41393,40959,74583,64847
2026-05-03T03:00:00Z,153705,113223,113995,84201,40482,44249,43788,71717,60786
2026-05-03T04:00:00Z,147951,116404,103078,85579,31547,45843,45406,60141,48358
2026-05-03T05:00:00Z,145774,115780,98885,82538,29994,44394,43921,59002,46701
2026-05-03T06:00:00Z,155807,116524,104759,86256,39283,45309,44841,61818,48511
2026-05-03T07:00:00Z,157144,112383,105896,85702,44761,46068,45652,65414,52802
2026-05-03T08:00:00Z,157029,120428,110413,90684,36601,49978,49541,66724,54686
2026-05-03T09:00:00Z,149803,119895,108698,88998,29908,50630,50207,70115,54602
2026-05-03T10:00:00Z,155325,123324,119571,96772,32001,52326,51895,71492,59754
2026-05-03T11:00:00Z,156475,125842,118729,97027,30633,53990,53593,71248,59261
2026-05-03T12:00:00Z,163933,127432,129588,99294,36501,51772,51401,78165,68287
2026-05-03T13:00:00Z,158630,112354,122676,92679,46276,52819,52418,80863,70675
2026-05-03T14:00:00Z,156842,124816,117817,97495,32026,59116,58697,77430,64797
2026-05-03T15:00:00Z,160834,132458,121397,103484,28376,61462,60976,77548,64653
2026-05-03T16:00:00Z,158414,130600,118567,101352,27814,60550,60089,76392,63056
2026-05-03T17:00:00Z,155527,127466,117195,99277,28061,59955,59534,75425,62356
2026-05-03T18:00:00Z,157677,128865,118563,99757,28812,58701,58244,75839,63186
2026-05-03T19:00:00Z,159423,109062,105592,87208,50361,47966,47574,64262,53975
2026-05-03T20:00:00Z,156767,125606,116504,96162,31161,52747,52296,70102,58462
2026-05-03T21:00:00Z,155996,123566,113743,93439,32430,51279,50753,67707,56297
2026-05-03T22:00:00Z,149154,116490,109250,88734,32664,47688,47260,64902,54300
2026-05-03T23:00:00Z,145842,114974,105991,86747,30868,46162,45746,61970,51721
2026-05-04T00:00:00Z,146877,110553,101009,83925,36324,45125,44610,61680,49389
2026-05-04T01:00:00Z,150272,108436,105846,81413,41836,45075,44611,68746,55974
2026-05-04T02:00:00Z,153263,105535,112158,79289,47728,43980,43503,76734,64452
2026-05-04T03:00:00Z,154377,112904,111734,85271,41473,48880,48341,75178,62513
2026-05-04T04:00:00Z,149984,118880,103542,88813,31104,50615,50157,65042,51390
2026-05-04T05:00:00Z,148490,116770,101713,87193,31720,50950,50436,65419,51063
2026-05-04T06:00:00Z,147836,117276,105032,89179,30560,54079,53540,69166,54768
2026-05-04T07:00:00Z,147683,120366,105584,91386,27317,57133,56541,70394,55094
2026-05-04T08:00:00Z,151209,119586,108626,89408,31623,55638,55027,76225,59063
2026-05-04T09:00:00Z,148268,121436,108948,93454,26832,59848,59287,74119,59808
2026-05-04T10:00:00Z,147647,120294,109971,94578,27353,59275,58717,74011,59930
2026-05-04T11:00:00Z,148977,121640,114079,96841,27337,59862,59350,75819,62339
2026-05-04T12:00:00Z,153866,129960,126116,108374,23906,64329,63795,79035,67755
2026-05-04T13:00:00Z,155829,124589,132704,105796,31240,63925,63492,88371,78147
2026-05-04T14:00:00Z,155226,118134,120556,100195,37092,62675,62239,82056,71275
2026-05-04T15:00:00Z,153524,125063,119137,103846,28461,63389,62916,77244,65319
2026-05-04T16:00:00Z,155979,129937,123756,107710,26042,64540,64099,79571,68132
2026-05-04T17:00:00Z,156529,130541,128255,110221,25988,65486,65002,81783,70405
2026-05-04T18:00:00Z,154545,130623,125555,109033,23922,63693,63174,78998,67504
2026-05-04T19:00:00Z,154415,122762,126305,103879,31653,58138,57637,78336,68307
2026-05-04T20:00:00Z,148944,120626,117354,99410,28318,54964,54440,70493,60081
2026-05-04T21:00:00Z,150508,118883,115969,95363,31625,53116,52554,71390,59653
2026-05-04T22:00:00Z,146216,111374,106579,85917,34842,47291,46732,66359,54050
2026-05-04T23:00:00Z,147435,112570,102669,83253,34865,46456,45927,63625,51606
2026-05-05T00:00:00Z,141870,106637,96632,79235,35233,44782,44203,61430,48501
2026-05-05T01:00:00Z,145709,105001,106618,80312,40708,43343,42859,68288,56259
2026-05-05T02:00:00Z,153238,102964,123172,83670,50274,43157,42703,80816,70632
2026-05-05T03:00:00Z,149722,109963,110458,84293,39759,45417,44900,70275,58314
2026-05-05T04:00:00Z,150319,118640,102622,87401,31679,47862,47336,62202,48312
2026-05-05T05:00:00Z,146980,118223,104903,89301,28757,50147,49614,64828,51032
2026-05-05T06:00:00Z,155521,127568,120347,102164,27953,56566,56040,72643,59869
2026-05-05T07:00:00Z,155470,118862,112933,96238,36608,56155,55677,72667,60146
2026-05-05T08:00:00Z,151509,123552,119351,100710,27957,58253,57721,75260,63439
2026-05-05T09:00:00Z,153235,129966,121730,105254,23269,61066,60548,77120,63658
2026-05-05T10:00:00Z,155345,128503,126236,106865,26842,60838,60320,77563,66202
2026-05-05T11:00:00Z,156155,130279,128161,107984,25876,62059,61597,79475,68719
2026-05-05T12:00:00Z,155652,133015,126361,108986,22637,64843,64381,79891,68537
2026-05-05T13:00:00Z,150568,119271,119923,99005,31297,62243,61853,81634,71221
2026-05-05T14:00:00Z,150715,128263,118867,107259,22452,66110,65704,76931,65538
2026-05-05T15:00:00Z,150403,133154,119460,108140,17249,63506,63053,74169,62867
2026-05-05T16:00:00Z,152960,132011,125748,111000,20949,62401,61955,75970,65362
2026-05-05T17:00:00Z,155356,133287,129629,112460,22069,63273,62830,78846,68091
2026-05-05T18:00:00Z,155569,134304,130595,114316,21265,63345,62869,77531,67160
2026-05-05T19:00:00Z,152422,115083,119059,99028,37339,55470,55058,73441,64615
2026-05-05T20:00:00Z,148720,124463,122844,104481,24257,54511,54020,70064,60437
2026-05-05T21:00:00Z,148624,122074,119315,100054,26550,51348,50805,67690,57389
2026-05-05T22:00:00Z,148282,117109,115908,94719,31173,49498,48984,67305,57331
2026-05-05T23:00:00Z,148474,119575,114983,95068,28899,48791,48299,65837,55787
2026-05-06T00:00:00Z,149876,119926,112638,94385,29950,48521,47933,63790,52279
2026-05-06T01:00:00Z,153239,117283,121046,94258,35956,50790,50310,74982,63877
2026-05-06T02:00:00Z,155963,114952,129739,94799,41011,49309,48890,82179,72789
2026-05-06T03:00:00Z,153281,101976,109244,82619,51305,45311,44838,70270,60591
2026-05-06T04:00:00Z,144498,116729,101756,85753,27769,52737,52214,65932,52553
2026-05-06T05:00:00Z,148085,119655,106897,89872,28430,55830,55289,70266,56561
2026-05-06T06:00:00Z,149360,124182,114815,97470,25178,59759,59260,75284,61420
2026-05-06T07:00:00Z,149775,128717,117464,102254,21058,64100,63578,77582,63787
2026-05-06T08:00:00Z,153768,131831,121996,106076,21937,66014,65542,80062,67728
2026-05-06T09:00:00Z,149944,116402,111218,95548,33542,60629,60163,73254,62120
2026-05-06T10:00:00Z,153646,129491,122960,105005,24155,62195,61722,77625,65858
2026-05-06T11:00:00Z,151878,125645,121871,102688,26233,64223,63740,79800,68440
