event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2026-04-01T00:00:00Z,153059,114587,95221,79132,38472,51281,50690,65055,49183
2026-04-01T01:00:00Z,157093,110745,116990,83731,46348,51354,50869,81362,69185
2026-04-01T02:00:00Z,157797,107763,119894,82864,50034,52666,52236,86207,74046
2026-04-01T03:00:00Z,156878,119957,109953,85871,36921,56031,55552,75819,62347
2026-04-01T04:00:00Z,156040,123526,97341,82748,32514,54506,54024,66595,51115
2026-04-01T05:00:00Z,158149,121434,104829,85108,36715,52115,51636,69524,54339
2026-04-01T06:00:00Z,162737,133045,117551,99004,29692,63428,62935,79279,64840
2026-04-01T07:00:00Z,158590,129307,121583,100116,29283,63150,62679,82181,68966
2026-04-01T08:00:00Z,160941,135058,123136,105560,25883,65817,65332,80463,67136
2026-04-01T09:00:00Z,159563,133437,125476,106696,26126,66190,65721,82716,69876
2026-04-01T10:00:00Z,158723,129513,120031,100174,29210,61341,60829,78969,65185
2026-04-01T11:00:00Z,156420,129534,117936,99471,26886,63311,62776,79120,65563
2026-04-01T12:00:00Z,155945,128169,121697,100178,27776,64094,63593,84107,71729
2026-04-01T13:00:00Z,158104,123094,127323,98128,35010,64306,63768,92389,80087
2026-04-01T14:00:00Z,154491,129911,115154,98066,24580,68005,67433,83820,69213
2026-04-01T15:00:00Z,154950,132673,116904,101856,22277,67499,66966,80603,66616
2026-04-01T16:00:00Z,154780,128313,110781,93355,26467,62130,61540,77711,62704
2026-04-01T17:00:00Z,154747,125796,113538,93481,28951,60244,59690,77600,63495
2026-04-01T18:00:00Z,155260,125885,114792,94560,29375,60829,60285,78482,64993
2026-04-01T19:00:00Z,158159,126888,117471,95907,31271,59833,59298,79142,66118
2026-04-01T20:00:00Z,157305,122802,111779,89309,34503,57165,56540,76035,62640
2026-04-01T21:00:00Z,155227,120653,106521,86492,34574,53823,53256,71590,58028
2026-04-01T22:00:00Z,152021,114079,100405,80280,37942,46666,46121,65778,52037
2026-04-01T23:00:00Z,156238,117564,102557,81348,38674,46186,45666,64648,51811
2026-04-02T00:00:00Z,149033,113702,96873,80772,35331,48804,48212,63076,49669
2026-04-02T01:00:00Z,160368,108173,121093,82398,52195,48997,48504,84794,73171
2026-04-02T02:00:00Z,162854,113561,124784,86583,49293,51223,50777,87361,75705
2026-04-02T03:00:00Z,161970,132151,106739,90235,29819,54126,53657,68488,55251
2026-04-02T04:00:00Z,156502,126253,96066,80711,30249,47754,47280,61935,48010
2026-04-02T05:00:00Z,159868,128789,110520,90914,31079,54403,53951,72220,58302
2026-04-02T06:00:00Z,157859,130674,105846,89609,27185,57730,57200,73070,57998
2026-04-02T07:00:00Z,156250,126824,108087,89940,29426,58837,58281,76654,60727
2026-04-02T08:00:00Z,156925,129744,106829,90995,27181,62189,61641,76605,60419
2026-04-02T09:00:00Z,155976,130028,109322,92922,25948,61690,61146,76013,60346
2026-04-02T10:00:00Z,153928,125677,106849,89453,28251,57919,57337,74013,58066
2026-04-02T11:00:00Z,154349,127839,109461,92756,26510,58734,58198,73579,57921
2026-04-02T12:00:00Z,155149,123598,114807,93050,31551,61184,60605,81981,66979
2026-04-02T13:00:00Z,153478,119389,114729,90007,34089,62768,62199,87669,71908
