event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2026-02-01T00:00:00Z,142802,104910,91973,75080,37892,40195,39710,56595,45039
2026-02-01T01:00:00Z,147759,91288,102694,65403,56471,37189,36729,74038,63179
2026-02-01T02:00:00Z,147591,91681,103927,66105,55910,36601,36186,73481,62562
2026-02-01T03:00:00Z,139792,102831,92929,73630,36961,36720,36294,54405,43213
2026-02-01T04:00:00Z,144983,111115,97504,80879,33868,42859,42460,59323,47589
2026-02-01T05:00:00Z,145173,106203,98022,76724,38970,41154,40787,61953,49534
2026-02-01T06:00:00Z,147481,109016,102994,79678,38465,44700,44311,66698,54561
2026-02-01T07:00:00Z,147355,111543,100551,79959,35812,43810,43453,60111,48003
2026-02-01T08:00:00Z,145020,108657,99041,78252,36363,43372,42999,60013,47465
2026-02-01T09:00:00Z,148726,112007,98465,78016,36719,47722,47375,64082,51074
2026-02-01T10:00:00Z,150366,112863,102827,81172,37503,48630,48276,65665,52507
2026-02-01T11:00:00Z,152733,117467,104825,83903,35266,52086,51706,66609,53050
2026-02-01T12:00:00Z,159230,108320,117134,78112,50910,46797,46408,82900,70011
2026-02-01T13:00:00Z,155350,110504,115897,81703,44846,50009,49638,81232,68269
2026-02-01T14:00:00Z,153143,120175,105161,85747,32968,55067,54705,70724,56065
2026-02-01T15:00:00Z,151593,118240,106555,86328,33353,54266,53890,71122,56690
2026-02-01T16:00:00Z,155122,123295,108389,89960,31827,56739,56381,72813,58267
2026-02-01T17:00:00Z,153365,119362,104580,85455,34003,51347,50967,66935,52259
2026-02-01T18:00:00Z,150658,114604,103904,82243,36054,50672,50279,71167,57372
2026-02-01T19:00:00Z,147458,114649,100533,81747,32809,50267,49862,64523,51725
2026-02-01T20:00:00Z,152005,115165,102685,82009,36840,48365,47897,65725,52386
2026-02-01T21:00:00Z,148776,110810,100611,79050,37966,46709,46311,63792,51403
2026-02-01T22:00:00Z,146170,108491,97872,76660,37679,40936,40572,58016,46295
2026-02-01T23:00:00Z,144682,107817,100526,78522,36865,41610,41233,58085,47496
2026-02-02T00:00:00Z,141537,100136,88684,71422,41401,41681,41227,59273,46097
2026-02-02T01:00:00Z,144663,90034,98888,63687,54629,40063,39575,75113,61884
2026-02-02T02:00:00Z,149325,95320,101465,66966,54005,43863,43419,77897,63909
2026-02-02T03:00:00Z,145693,109387,89365,75194,36306,44633,44197,57186,42594
2026-02-02T04:00:00Z,144960,103185,89427,71996,41775,42655,42181,59979,45258
2026-02-02T05:00:00Z,145151,108210,92739,73909,36941,48155,47722,65738,50505
2026-02-02T06:00:00Z,145206,108735,90639,73368,36471,49674,49195,66569,50065
2026-02-02T07:00:00Z,151130,115144,97441,78639,35986,54081,53609,70954,54133
