event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2020-02-01T00:00:00Z,62388,57235,34311,33236,5153,18871,18793,23126,14682
2020-02-01T01:00:00Z,52189,48295,29515,28629,3894,16905,16835,20259,13146
2020-02-01T02:00:00Z,54356,48306,29121,28046,6050,16837,16781,21258,12659
2020-02-01T03:00:00Z,50916,47612,28816,27919,3304,16853,16799,19810,12326
2020-02-01T04:00:00Z,51485,45887,27791,27054,5598,16738,16685,19898,12125
2020-02-01T05:00:00Z,54062,45352,27621,26898,8710,16348,16300,19456,11763
2020-02-01T06:00:00Z,48015,45365,26904,26244,2650,16831,16781,20098,12405
2020-02-01T07:00:00Z,48846,46360,27172,26582,2486,17661,17621,20569,12574
2020-02-01T08:00:00Z,51348,48244,28252,27546,3104,18672,18625,21643,13147
2020-02-01T09:00:00Z,56334,52454,31093,30122,3880,20035,19993,23253,14015
2020-02-01T10:00:00Z,56176,51445,30662,29694,4731,20145,20103,22919,14070
2020-02-01T11:00:00Z,59894,54723,32033,31273,5171,21033,20985,24067,14715
2020-02-01T12:00:00Z,62915,58998,33131,32196,3917,22165,22118,25638,15630
2020-02-01T13:00:00Z,64375,59623,35413,34476,4752,23540,23483,26759,16688
2020-02-01T14:00:00Z,66967,63614,37154,36434,3353,25573,25514,28514,17784
2020-02-01T15:00:00Z,69794,66876,39323,38723,2918,26395,26338,29273,18398
2020-02-01T16:00:00Z,70893,68064,40762,40248,2829,26204,26152,29289,18820
2020-02-01T17:00:00Z,72062,68540,41589,40904,3522,25890,25837,28729,18468
2020-02-01T18:00:00Z,72611,68476,42099,41247,4135,25328,25265,28084,18179
2020-02-01T19:00:00Z,69072,65847,40844,39915,3225,24764,24708,27591,18078
2020-02-01T20:00:00Z,68633,64871,41439,40479,3762,23982,23933,26616,17498
2020-02-01T21:00:00Z,67433,62817,40134,38991,4616,22998,22947,25815,17001
2020-02-01T22:00:00Z,64936,58879,37965,37051,6057,21342,21294,25113,15918
2020-02-01T23:00:00Z,57422,53648,34855,34059,3774,19436,19390,22234,14688
2020-02-02T00:00:00Z,52251,49688,33325,32647,2563,17554,17504,20006,13283
2020-02-02T01:00:00Z,49290,47341,31163,30707,1949,16596,16556,18774,12235
2020-02-02T02:00:00Z,50756,48258,31400,30966,2498,17285,17240,19438,12327
2020-02-02T03:00:00Z,51066,48792,31934,31306,2274,17470,17418,20118,12773
2020-02-02T04:00:00Z,49854,46290,29746,28985,3564,17238,17189,20148,12688
2020-02-02T05:00:00Z,49968,46164,29067,28470,3804,17280,17222,20299,12428
2020-02-02T06:00:00Z,47948,45846,27854,27422,2102,17393,17347,19957,12254
2020-02-02T07:00:00Z,53559,50645,28476,27856,2914,17924,17878,21033,12692
2020-02-02T08:00:00Z,56764,50164,30400,29390,6600,19397,19340,24579,14042
2020-02-02T09:00:00Z,57892,53412,31981,31090,4480,21044,20995,25113,14814
2020-02-02T10:00:00Z,57572,54187,32509,31834,3385,21427,21374,24764,14923
2020-02-02T11:00:00Z,61694,57436,34379,33556,4258,22473,22423,25880,15826
2020-02-02T12:00:00Z,64145,60799,36433,35679,3346,24263,24207,27214,16832
2020-02-02T13:00:00Z,69704,66094,40485,39688,3610,26263,26208,28977,18354
2020-02-02T14:00:00Z,73164,69693,42116,41602,3471,27817,27764,31166,19607
2020-02-02T15:00:00Z,74314,70637,42730,42092,3677,27581,27529,31688,19805
2020-02-02T16:00:00Z,75122,69781,41992,41187,5341,26857,26809,31259,19482
2020-02-02T17:00:00Z,74447,70841,43525,42706,3606,26451,26393,29854,19391
2020-02-02T18:00:00Z,72881,69388,43148,42399,3493,25661,25597,29114,18920
2020-02-02T19:00:00Z,72674,68851,43190,42310,3823,25873,25811,30076,19427
2020-02-02T20:00:00Z,71472,67915,42120,41441,3557,25052,24994,29042,18825
2020-02-02T21:00:00Z,68288,65477,40485,39929,2811,24154,24096,27860,18044
2020-02-02T22:00:00Z,61739,59129,37043,36502,2610,21580,21536,25087,16535
2020-02-02T23:00:00Z,53938,50635,32059,31460,3303,18059,18010,21605,13899
2020-02-03T00:00:00Z,53495,48432,31264,30304,5063,17108,17047,21342,13505
2020-02-03T01:00:00Z,55160,50380,31654,30643,4780,18203,18151,21908,13566
2020-02-03T02:00:00Z,58899,54081,32412,31604,4818,20218,20164,23930,14273
2020-02-03T03:00:00Z,61324,56144,33203,32364,5180,21011,20954,25513,14897
2020-02-03T04:00:00Z,63788,54734,32966,31979,9054,20792,20732,25347,14886
2020-02-03T05:00:00Z,69315,55744,33135,31696,13571,20958,20885,26690,15079
2020-02-03T06:00:00Z,71840,59107,33676,32354,12733,23303,23232,28525,15959
2020-02-03T07:00:00Z,78864,68206,36496,35298,10658,26331,26265,31624,17687
2020-02-03T08:00:00Z,87914,75964,40202,38769,11950,30601,30532,35031,19875
2020-02-03T09:00:00Z,93371,85886,43823,42393,7485,33901,33821,38323,21783
