event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2023-01-01T00:00:00Z,101916,57857,61501,39145,44059,16330,16187,43913,34970
2023-01-01T01:00:00Z,110063,57202,72557,39699,52861,16176,16034,52575,43809
2023-01-01T02:00:00Z,90692,53466,54866,35599,37226,14887,14779,36238,27465
2023-01-01T03:00:00Z,104300,55651,52560,36170,48649,14938,14816,29673,18514
2023-01-01T04:00:00Z,92570,53192,49464,34816,39378,15155,15051,28777,17232
2023-01-01T05:00:00Z,92307,54814,53088,36253,37493,15669,15571,29767,18093
2023-01-01T06:00:00Z,100654,56968,56307,36874,43686,17445,17334,36828,22679
2023-01-01T07:00:00Z,120236,60864,55358,38955,59372,18575,18480,42512,19598
2023-01-01T08:00:00Z,122830,64582,57222,41239,58248,19580,19461,44170,21287
2023-01-01T09:00:00Z,137262,64740,56560,40201,72522,20596,20465,51278,20999
2023-01-01T10:00:00Z,143481,69808,61679,44220,73673,21839,21723,53233,23246
2023-01-01T11:00:00Z,147125,73462,62376,45282,73663,23417,23317,53798,23091
2023-01-01T12:00:00Z,187874,76053,104405,47549,111821,25634,25528,80356,48898
2023-01-01T13:00:00Z,171439,82366,82859,49585,89073,28289,28178,76532,43685
2023-01-01T14:00:00Z,159454,89502,69342,53376,69952,30799,30676,60871,27796
2023-01-01T15:00:00Z,161519,88765,70625,53328,72754,30827,30686,62635,29108
2023-01-01T16:00:00Z,155819,87980,66916,52736,67839,30627,30490,61316,28602
2023-01-01T17:00:00Z,161064,89159,69579,54490,71905,29712,29610,59615,26856
2023-01-01T18:00:00Z,156019,85226,73237,52399,70793,28567,28417,61596,31977
2023-01-01T19:00:00Z,142381,79312,63732,47865,63069,26580,26457,52415,25134
2023-01-01T20:00:00Z,143408,77649,65663,47925,65759,25433,25311,52411,26122
2023-01-01T21:00:00Z,133725,73411,61311,45441,60314,24413,24297,48344,23687
