event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2024-01-01T00:00:00Z,153619,90638,110370,71426,62981,18972,18723,59125,49066
2024-01-01T01:00:00Z,169672,91224,120267,71978,78448,18274,18031,68937,57806
2024-01-01T02:00:00Z,130276,91737,89901,71461,38539,17404,17193,34720,24785
2024-01-01T03:00:00Z,136620,91563,90417,70797,45057,17794,17618,33667,23478
2024-01-01T04:00:00Z,135528,95387,91582,72794,40141,19124,18953,34640,24022
2024-01-01T05:00:00Z,137292,98789,94867,75184,38503,20073,19918,35982,25495
2024-01-01T06:00:00Z,147114,104599,104058,78798,42515,22599,22435,43286,31923
2024-01-01T07:00:00Z,142101,107989,97237,79775,34112,23815,23628,37389,25463
2024-01-01T08:00:00Z,147821,111459,102056,83068,36362,25232,25061,40359,27859
2024-01-01T09:00:00Z,149529,113826,102222,83670,35703,26624,26435,40895,27965
2024-01-01T10:00:00Z,158214,117842,106268,86022,40372,28024,27829,44100,30703
2024-01-01T11:00:00Z,160724,125095,108155,90433,35629,30088,29910,43839,29395
2024-01-01T12:00:00Z,225075,126015,170054,89253,99060,32648,32403,77673,62749
2024-01-01T13:00:00Z,190568,134820,132944,95282,55748,35843,35634,68538,52457
2024-01-01T14:00:00Z,176699,141871,116253,98460,34828,38812,38616,53334,36032
2024-01-01T15:00:00Z,180386,142956,118979,98809,37430,39030,38845,55245,38053
2024-01-01T16:00:00Z,178135,142221,117360,99256,35914,38641,38447,53934,37407
2024-01-01T17:00:00Z,178980,144826,115150,98410,34154,37400,37203,51913,35415
2024-01-01T18:00:00Z,185244,138783,125392,98576,46461,35698,35457,59476,43801
2024-01-01T19:00:00Z,172448,132985,112576,93391,39463,32056,31859,47327,32863
2024-01-01T20:00:00Z,166962,127006,114312,92706,39956,30315,30111,47344,34220
2024-01-01T21:00:00Z,159181,120920,106211,86748,38261,29096,28921,42359,29790
2024-01-01T22:00:00Z,151168,114393,102562,84249,36775,26370,26199,39579,28112
2024-01-01T23:00:00Z,146481,114418,100651,84250,32063,26914,26756,39438,28336
2024-01-02T00:00:00Z,168485,115668,128289,86059,52817,28039,27810,68539,57303
2024-01-02T01:00:00Z,128788,90343,94250,62650,38445,25276,25086,56350,44662
2024-01-02T02:00:00Z,147385,122818,100508,84313,24567,32774,32582,45168,29391
2024-01-02T03:00:00Z,145360,120852,98087,81085,24508,32366,32178,45067,29253
2024-01-02T04:00:00Z,142119,117201,97664,80059,24918,30452,30262,43622,30024
2024-01-02T05:00:00Z,152134,120790,100540,81041,31344,33758,33569,47820,31979
2024-01-02T06:00:00Z,170508,137477,113383,88379,33031,40516,40308,59458,40562
2024-01-02T07:00:00Z,183425,156401,117934,99904,27024,43598,43370,56882,36793
2024-01-02T08:00:00Z,191137,162706,120833,102074,28431,47327,47089,61495,39938
2024-01-02T09:00:00Z,199450,168547,122109,103434,30903,50396,50135,63519,41267
2024-01-02T10:00:00Z,177751,144806,101699,80916,32945,49095,48837,64458,43317
2024-01-02T11:00:00Z,175673,147157,100816,82680,28516,48778,48494,60931,40606
2024-01-02T12:00:00Z,237269,149428,162928,85079,87841,51142,50858,94464,73506
2024-01-02T13:00:00Z,207301,159074,127599,89840,48227,55772,55514,87816,64970
2024-01-02T14:00:00Z,212581,181939,125409,106417,30642,61211,60920,74536,50180
2024-01-02T15:00:00Z,235608,189643,136777,117276,45965,59303,58993,73388,49751
2024-01-02T16:00:00Z,217109,184883,127473,109021,32226,58278,57926,73753,48905
2024-01-02T17:00:00Z,195575,167274,116417,98668,28301,54859,54571,67452,46189
2024-01-02T18:00:00Z,192596,154830,116094,89525,37766,51370,51044,72531,52477
