event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2019-02-01T00:00:00Z,48556,47451,26615,26417,1105,17797,17761,19996,12251
2019-02-01T01:00:00Z,51142,50172,28176,27931,970,18983,18949,21318,12720
2019-02-01T02:00:00Z,49202,48070,26412,26182,1132,19129,19099,21607,12070
2019-02-01T03:00:00Z,46819,45927,26032,25826,892,18615,18588,20832,12052
2019-02-01T04:00:00Z,41691,40275,23212,23021,1416,15707,15684,17722,10639
2019-02-01T05:00:00Z,42501,39560,22287,21899,2941,15978,15952,18985,10753
2019-02-01T06:00:00Z,43179,41420,22077,21804,1759,17890,17854,20057,11160
2019-02-01T07:00:00Z,49839,48302,25214,24989,1537,20629,20594,22925,12846
2019-02-01T08:00:00Z,55667,54730,27449,27200,937,23414,23376,25494,14212
2019-02-01T09:00:00Z,62635,61496,31144,30950,1139,26242,26200,28283,16293
2019-02-01T10:00:00Z,62195,60759,31354,31132,1436,25133,25085,27159,15873
2019-02-01T11:00:00Z,55864,54806,28905,28660,1058,22617,22573,24325,14481
2019-02-01T12:00:00Z,59106,57724,29837,29479,1382,23791,23747,26329,15503
2019-02-01T13:00:00Z,67026,65406,34905,34609,1620,26549,26507,28741,17188
2019-02-01T14:00:00Z,73707,72387,38252,37910,1320,29614,29572,31901,18996
2019-02-01T15:00:00Z,76713,75618,39756,39533,1095,30682,30635,32864,19819
2019-02-01T16:00:00Z,77999,76867,40814,40581,1132,30337,30290,32748,19898
2019-02-01T17:00:00Z,72953,70372,38584,38104,2581,27516,27466,30638,18609
2019-02-01T18:00:00Z,69143,65352,35869,35406,3791,24624,24582,28941,16648
2019-02-01T19:00:00Z,66218,64600,35813,35406,1618,24067,24027,26250,16173
2019-02-01T20:00:00Z,62335,60974,34103,33802,1361,22953,22914,25094,15597
2019-02-01T21:00:00Z,62431,60891,32700,32492,1540,21752,21709,24249,14910
2019-02-01T22:00:00Z,57618,56109,30459,30163,1509,19709,19670,22147,13749
2019-02-01T23:00:00Z,49166,47988,26760,26472,1178,16577,16539,18941,11824
2019-02-02T00:00:00Z,50202,49403,21779,21589,799,14286,14253,16319,10191
2019-02-02T01:00:00Z,47030,46277,19465,19260,753,12896,12866,14869,8751
2019-02-02T02:00:00Z,41318,40688,20180,20047,630,12889,12866,14844,8571
2019-02-02T03:00:00Z,38992,38573,19335,19232,419,12467,12442,14208,8355
2019-02-02T04:00:00Z,31972,31634,17399,17324,338,11063,11043,13002,7620
2019-02-02T05:00:00Z,31057,30667,17466,17372,390,11562,11537,13542,7793
2019-02-02T06:00:00Z,31705,31127,17299,17216,578,12049,12026,13950,7858
2019-02-02T07:00:00Z,33352,32919,18207,18103,433,12793,12771,14950,8345
2019-02-02T08:00:00Z,33101,32594,17887,17797,507,13038,13015,15255,8424
2019-02-02T09:00:00Z,36278,34836,19577,19288,1442,14057,14033,16708,9311
2019-02-02T10:00:00Z,35612,35144,19175,19061,468,13655,13635,15529,9034
2019-02-02T11:00:00Z,35111,34647,19504,19385,464,13950,13928,15529,9265
2019-02-02T12:00:00Z,36649,36305,19996,19918,344,14556,14524,16648,9721
2019-02-02T13:00:00Z,39815,39082,21732,21587,733,16211,16184,18330,10845
2019-02-02T14:00:00Z,43967,43509,23669,23575,458,17658,17631,20424,11810
2019-02-02T15:00:00Z,45452,44921,23888,23784,531,18039,18011,20232,12150
2019-02-02T16:00:00Z,46382,45716,25022,24901,666,18435,18410,20620,12616
2019-02-02T17:00:00Z,45268,44608,25118,25031,660,17986,17954,20277,12329
2019-02-02T18:00:00Z,46229,44936,25911,25577,1293,17640,17610,19982,12247
2019-02-02T19:00:00Z,45328,44416,25416,25226,912,17376,17349,19540,12273
2019-02-02T20:00:00Z,43881,43136,24812,24670,745,16827,16802,19331,12011
2019-02-02T21:00:00Z,42772,42134,24308,24203,638,16272,16240,18642,11477
2019-02-02T22:00:00Z,39510,38744,22848,22733,766,14981,14953,17043,10674
2019-02-02T23:00:00Z,36109,35779,21074,21030,330,13618,13593,15430,9576
2019-02-03T00:00:00Z,33552,33183,19653,19563,369,12020,11999,13931,8789
2019-02-03T01:00:00Z,33684,33093,20540,20354,591,11933,11912,13883,8623
2019-02-03T02:00:00Z,32156,31659,19328,19162,497,11822,11797,13654,8137
2019-02-03T03:00:00Z,32334,32041,19556,19472,293,11832,11809,13759,8349
2019-02-03T04:00:00Z,31124,30680,18646,18589,444,11387,11364,13249,8123
2019-02-03T05:00:00Z,29147,28788,17094,17032,359,10955,10935,12714,7777
2019-02-03T06:00:00Z,29069,28807,16301,16246,262,10956,10934,13165,7570
2019-02-03T07:00:00Z,29195,28964,16398,16365,231,11472,11453,13246,7699
2019-02-03T08:00:00Z,31847,31620,17985,17937,227,12105,12085,13951,8044
2019-02-03T09:00:00Z,33853,33457,18928,18868,396,13223,13196,15177,8866
2019-02-03T10:00:00Z,34689,34321,19094,18975,368,13535,13515,15733,9221
2019-02-03T11:00:00Z,35832,35433,19901,19821,399,14294,14265,16483,9783
2019-02-03T12:00:00Z,39019,36749,20926,20350,2270,15054,15020,18240,10497
2019-02-03T13:00:00Z,41109,40040,22324,21990,1069,16527,16499,18915,11399
2019-02-03T14:00:00Z,42415,41911,23801,23672,504,17566,17536,19963,12046
2019-02-03T15:00:00Z,44943,44301,24993,24884,642,18215,18186,20614,12440
2019-02-03T16:00:00Z,46494,46000,26060,25956,494,18587,18557,21261,12840
2019-02-03T17:00:00Z,48828,48406,27720,27606,422,19328,19303,21862,13466
2019-02-03T18:00:00Z,49830,49127,29031,28872,703,18954,18922,21331,13405
2019-02-03T19:00:00Z,47663,46888,27789,27649,775,18542,18515,21037,13370
2019-02-03T20:00:00Z,46907,46140,27446,27268,767,18310,18279,20636,13239
2019-02-03T21:00:00Z,46861,45872,27798,27621,989,17873,17841,20460,13118
2019-02-03T22:00:00Z,42429,41779,25164,24968,650,16292,16266,18571,11978
2019-02-03T23:00:00Z,36788,36348,22248,22168,440,13675,13650,15652,10048
2019-02-04T00:00:00Z,33921,33180,20302,20210,741,11997,11979,14307,8930
2019-02-04T01:00:00Z,33823,33169,20075,19939,654,11860,11840,14203,8664
2019-02-04T02:00:00Z,33056,32177,19688,19454,879,11881,11860,13815,8478
2019-02-04T03:00:00Z,32608,31855,19307,19161,753,12204,12179,14031,8765
2019-02-04T04:00:00Z,34076,32319,18617,18450,1757,12569,12549,14948,8820
2019-02-04T05:00:00Z,35821,34148,19669,19525,1673,12952,12927,15232,8851
2019-02-04T06:00:00Z,36784,34985,19108,18930,1799,14042,14014,16188,9368
2019-02-04T07:00:00Z,41392,39420,21317,21065,1972,16164,16125,18430,10450
2019-02-04T08:00:00Z,48003,46256,23966,23617,1747,19199,19164,21314,12103
2019-02-04T09:00:00Z,53020,51932,26886,26655,1088,21744,21698,23736,13726
2019-02-04T10:00:00Z,56588,54555,28038,27687,2033,22691,22649,24945,14352
2019-02-04T11:00:00Z,55053,53366,27590,27256,1687,22314,22278,24197,14146
2019-02-04T12:00:00Z,56918,56055,29362,29148,863,23218,23182,25047,14886
2019-02-04T13:00:00Z,65791,64140,33481,33250,1651,26404,26362,28553,16902
2019-02-04T14:00:00Z,73615,72649,37416,37178,966,29476,29433,31537,18907
2019-02-04T15:00:00Z,81120,79874,41089,40834,1246,32289,32240,34320,20618
2019-02-04T16:00:00Z,86940,85084,45055,44665,1856,32873,32827,35627,21697
2019-02-04T17:00:00Z,75544,73125,38556,38205,2419,29151,29103,31657,18986
2019-02-04T18:00:00Z,74640,71962,37740,37408,2678,27903,27860,31156,18496
2019-02-04T19:00:00Z,76802,73930,39405,39048,2872,28290,28238,31468,18793
2019-02-04T20:00:00Z,74448,72676,38883,38573,1772,27399,27346,30251,18390
2019-02-04T21:00:00Z,75773,73815,39691,39370,1958,27104,27061,30193,18700
2019-02-04T22:00:00Z,66698,65012,35668,35338,1686,24171,24125,26750,16826
2019-02-04T23:00:00Z,52604,51052,28347,27913,1552,19337,19306,21822,13758
2019-02-05T00:00:00Z,48029,46231,25782,25523,1798,17212,17172,19665,12254
2019-02-05T01:00:00Z,47725,43965,25516,25117,3760,15844,15809,19540,11648
2019-02-05T02:00:00Z,43192,40839,23739,23444,2353,14477,14449,17371,10585
2019-02-05T03:00:00Z,41676,38219,22691,22099,3457,14190,14163,17879,10668
2019-02-05T04:00:00Z,41121,37431,21652,21412,3690,14138,14106,17777,10259
2019-02-05T05:00:00Z,40664,37933,21141,20977,2731,14118,14082,17590,10029
2019-02-05T06:00:00Z,38754,35887,19649,19455,2867,14208,14170,17183,9700
2019-02-05T07:00:00Z,41633,39721,20706,20574,1912,16029,15993,18570,10522
2019-02-05T08:00:00Z,48964,47209,24293,24073,1755,19322,19287,21676,12416
2019-02-05T09:00:00Z,60175,57472,29700,29359,2703,23169,23131,25970,14607
2019-02-05T10:00:00Z,63633,59746,29778,29433,3887,23789,23751,27655,14912
2019-02-05T11:00:00Z,60536,57782,29728,29468,2754,23310,23268,26421,14883
2019-02-05T12:00:00Z,65448,62248,32150,31842,3200,25104,25063,28547,15935
2019-02-05T13:00:00Z,67781,66185,34014,33698,1596,27353,27314,29695,17520
2019-02-05T14:00:00Z,74562,73373,37499,37179,1189,30956,30903,33070,19889
2019-02-05T15:00:00Z,80907,78801,40357,39797,2106,32768,32717,35539,21377
2019-02-05T16:00:00Z,82193,80256,41503,41163,1937,32698,32646,35097,21218
2019-02-05T17:00:00Z,75864,74540,39740,39419,1324,30017,29964,32152,19896
2019-02-05T18:00:00Z,75605,73967,39313,39080,1638,28599,28552,30871,18795
2019-02-05T19:00:00Z,76666,74933,40524,40178,1733,28835,28780,31582,19153
2019-02-05T20:00:00Z,71562,70245,38072,37830,1317,27194,27144,29653,18384
2019-02-05T21:00:00Z,71923,70626,37828,37515,1297,27110,27060,29578,18522
2019-02-05T22:00:00Z,64926,63548,34947,34742,1378,24534,24487,26844,16889
2019-02-05T23:00:00Z,55902,54720,29765,29561,1182,20576,20531,23001,14346
2019-02-06T00:00:00Z,53409,51615,28487,28254,1794,18484,18456,21075,13070
2019-02-06T01:00:00Z,47777,46600,27256,26980,1177,16560,16528,18779,11748
2019-02-06T02:00:00Z,42358,41437,24480,24335,921,15250,15219,17312,10594
2019-02-06T03:00:00Z,39506,38582,22842,22667,924,14533,14506,16692,10279
2019-02-06T04:00:00Z,39938,38857,22238,22084,1081,14786,14754,17047,10362
2019-02-06T05:00:00Z,39309,38084,22057,21886,1225,14250,14221,16497,9887
2019-02-06T06:00:00Z,40058,38897,21146,20963,1161,15106,15078,17501,9931
2019-02-06T07:00:00Z,44331,43401,22426,22243,930,17125,17090,19265,11108
2019-02-06T08:00:00Z,54574,51775,26334,25984,2799,20801,20758,24379,13063
2019-02-06T09:00:00Z,69732,67075,34873,34464,2657,25879,25838,28738,16521
2019-02-06T10:00:00Z,71144,68577,34772,34463,2567,26655,26616,29479,16871
2019-02-06T11:00:00Z,67467,65916,34053,33729,1551,26175,26137,28123,16277
2019-02-06T12:00:00Z,70944,69341,35363,35055,1603,27501,27462,29908,17622
2019-02-06T13:00:00Z,80652,78256,40634,40185,2396,31039,30992,33814,20105
2019-02-06T14:00:00Z,86452,84339,43208,42687,2113,34005,33959,36671,22000
