event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2017-01-01T00:00:00Z,14379,14361,7898,7898,18,5597,5596,6405,3960
2017-01-01T01:00:00Z,14645,14636,8054,8054,9,5537,5536,6522,3923
2017-01-01T02:00:00Z,18061,18058,8299,8299,3,5543,5542,6542,3759
2017-01-01T03:00:00Z,13974,13876,7748,7748,98,5482,5481,6427,3648
2017-01-01T04:00:00Z,13354,13351,7679,7679,3,5446,5445,6337,3642
2017-01-01T05:00:00Z,13334,13334,7642,7642,0,5099,5099,6002,3500
2017-01-01T06:00:00Z,12375,12367,6823,6823,8,5008,5007,5832,3286
2017-01-01T07:00:00Z,12717,12715,6793,6793,2,5476,5475,6373,3502
2017-01-01T08:00:00Z,13929,13908,7478,7478,21,5771,5770,6730,3684
2017-01-01T09:00:00Z,14646,14636,8006,8006,10,5805,5804,6885,3980
2017-01-01T10:00:00Z,14363,14362,7742,7742,1,5988,5987,6844,3915
2017-01-01T11:00:00Z,15669,15666,8498,8498,3,6591,6590,7634,4249
2017-01-01T12:00:00Z,18241,18218,9394,9394,23,7274,7273,8498,4826
2017-01-01T13:00:00Z,19214,19207,10109,10109,7,8508,8507,9690,5511
2017-01-01T14:00:00Z,23157,23143,12028,12028,14,9587,9586,10960,6349
2017-01-01T15:00:00Z,24639,24631,13152,13152,8,10099,10098,11374,6770
2017-01-01T16:00:00Z,22881,22873,12582,12582,8,9729,9728,11147,6796
2017-01-01T17:00:00Z,23158,23156,12317,12317,2,9558,9557,10848,6447
2017-01-01T18:00:00Z,21680,21675,11880,11880,5,9396,9395,10390,6262
2017-01-01T19:00:00Z,22025,21994,11763,11763,31,9319,9318,10407,6279
2017-01-01T20:00:00Z,22137,22125,12076,12076,12,9398,9397,10490,6455
2017-01-01T21:00:00Z,21857,21826,12080,12080,31,9314,9313,10550,6493
2017-01-01T22:00:00Z,21271,21261,11805,11805,10,9143,9142,10305,6469
2017-01-01T23:00:00Z,21069,21066,11704,11704,3,8158,8157,9236,5715
2017-01-02T00:00:00Z,19837,19790,11140,11140,47,7747,7746,8785,5394
2017-01-02T01:00:00Z,18485,18475,10162,10162,10,7638,7637,8644,5207
2017-01-02T02:00:00Z,20732,20644,11202,11202,88,8249,8248,9420,5504
2017-01-02T03:00:00Z,19662,19658,10801,10801,4,8188,8187,9303,5370
2017-01-02T04:00:00Z,19322,19317,10595,10595,5,8226,8225,9274,5527
2017-01-02T05:00:00Z,19447,19445,10520,10520,2,8286,8285,9461,5437
2017-01-02T06:00:00Z,21618,21617,11278,11278,1,9086,9085,10310,5622
2017-01-02T07:00:00Z,21217,21192,11048,11048,25,9486,9485,10682,5894
2017-01-02T08:00:00Z,22732,22713,11503,11503,19,10513,10512,11510,6363
2017-01-02T09:00:00Z,27625,27613,13776,13776,12,12286,12285,13551,7637
2017-01-02T10:00:00Z,30602,30593,14873,14873,9,12947,12946,14455,7936
2017-01-02T11:00:00Z,29956,29935,15133,15133,21,13146,13145,14372,8160
2017-01-02T12:00:00Z,33097,33095,16717,16717,2,14357,14356,15647,9086
2017-01-02T13:00:00Z,36059,36049,17979,17979,10,15925,15924,17492,10132
2017-01-02T14:00:00Z,38798,38781,19250,19250,17,17016,17015,18567,10844
2017-01-02T15:00:00Z,39460,39428,20262,20262,32,17359,17358,18989,11258
2017-01-02T16:00:00Z,38616,38580,20150,20150,36,16931,16930,18470,11189
2017-01-02T17:00:00Z,35897,35875,18222,18222,22,15610,15609,17085,10268
2017-01-02T18:00:00Z,35149,35100,18009,18008,49,14851,14849,16182,9805
2017-01-02T19:00:00Z,35738,35694,18857,18857,44,14727,14725,16421,10303
2017-01-02T20:00:00Z,36522,36509,19530,19530,13,14889,14888,16173,10268
2017-01-02T21:00:00Z,35395,35306,18653,18653,89,14604,14603,16026,10163
2017-01-02T22:00:00Z,32594,32568,17475,17475,26,13614,13613,15022,9393
2017-01-02T23:00:00Z,29631,29610,16273,16273,21,12186,12185,13622,8617
2017-01-03T00:00:00Z,27473,27468,15175,15175,5,11618,11617,12907,8007
2017-01-03T01:00:00Z,30417,30407,15058,15058,10,13405,13404,14675,8340
2017-01-03T02:00:00Z,32489,32477,15735,15735,12,14896,14895,15975,8634
2017-01-03T03:00:00Z,31438,31427,15887,15887,11,14277,14276,15425,8367
2017-01-03T04:00:00Z,27199,26959,13976,13976,240,11345,11344,12717,7105
2017-01-03T05:00:00Z,28147,28054,13979,13979,93,12554,12553,13660,7400
2017-01-03T06:00:00Z,32506,32423,15306,15306,83,14453,14452,15710,8086
2017-01-03T07:00:00Z,35270,35254,17412,17412,16,15799,15798,17127,8960
2017-01-03T08:00:00Z,39348,39337,18768,18768,11,17867,17866,18878,10131
2017-01-03T09:00:00Z,43299,43294,20561,20561,5,19599,19598,20643,11252
2017-01-03T10:00:00Z,42819,42804,21525,21525,15,18691,18689,19999,11221
2017-01-03T11:00:00Z,40348,40271,20025,20025,77,17384,17383,19082,10649
2017-01-03T12:00:00Z,40463,40450,20322,20322,13,17770,17769,19324,11173
2017-01-03T13:00:00Z,46049,45963,23091,23091,86,19978,19977,21630,12494
2017-01-03T14:00:00Z,51844,51774,25474,25474,70,22021,22020,24024,13836
2017-01-03T15:00:00Z,54460,54391,26858,26858,69,23220,23219,24857,14836
2017-01-03T16:00:00Z,52586,52512,26142,26142,74,22323,22322,23826,14163
2017-01-03T17:00:00Z,49096,48891,23738,23738,205,20548,20547,22405,13184
2017-01-03T18:00:00Z,47108,46932,22777,22777,176,19391,19390,20713,12218
2017-01-03T19:00:00Z,45622,45577,22019,22019,45,19220,19219,20176,12239
2017-01-03T20:00:00Z,46182,46155,22479,22479,27,18941,18940,20443,12295
2017-01-03T21:00:00Z,47534,47229,23357,23357,305,19164,19163,20598,12298
2017-01-03T22:00:00Z,44298,44195,22278,22278,103,17592,17591,18969,11531
2017-01-03T23:00:00Z,37243,37229,19204,19204,14,14738,14737,16319,9904
2017-01-04T00:00:00Z,34295,34281,17544,17544,14,13626,13625,15059,8934
2017-01-04T01:00:00Z,36076,35950,17795,17795,126,15398,15397,16535,9112
2017-01-04T02:00:00Z,37751,37704,18424,18417,47,16173,16171,17621,9377
2017-01-04T03:00:00Z,34763,34747,17244,17244,16,15508,15507,16898,9218
2017-01-04T04:00:00Z,29920,29917,16028,16028,3,12464,12463,13697,7745
2017-01-04T05:00:00Z,32461,32458,16440,16440,3,13369,13368,14596,8107
2017-01-04T06:00:00Z,36215,36172,17569,17569,43,15307,15306,16690,8872
2017-01-04T07:00:00Z,35824,35805,17255,17255,19,16490,16489,17683,9366
2017-01-04T08:00:00Z,42254,41478,19367,19367,776,18420,18419,19877,10333
2017-01-04T09:00:00Z,45761,45734,22099,22099,27,20554,20553,21886,12027
2017-01-04T10:00:00Z,45153,45002,22554,22554,151,19673,19672,21191,12017
2017-01-04T11:00:00Z,41475,41454,20997,20997,21,17965,17964,19321,11124
2017-01-04T12:00:00Z,43224,43180,21843,21843,44,18711,18710,20345,11725
2017-01-04T13:00:00Z,45927,45921,22807,22807,6,20000,19999,21405,12394
2017-01-04T14:00:00Z,51297,51240,25195,25195,57,22787,22786,24068,14099
2017-01-04T15:00:00Z,56338,56276,27753,27753,62,24418,24417,25640,15292
2017-01-04T16:00:00Z,56679,56335,27876,27712,344,23719,23717,25266,15096
2017-01-04T17:00:00Z,47801,47768,23119,23115,33,20813,20810,21789,12858
2017-01-04T18:00:00Z,47840,47814,23411,23411,26,20067,20065,20995,12604
2017-01-04T19:00:00Z,45731,45691,22491,22491,40,19180,19179,20043,12034
2017-01-04T20:00:00Z,48749,48678,24349,24349,71,19560,19559,20756,12658
2017-01-04T21:00:00Z,46382,46232,23317,23317,150,19342,19341,20531,12608
2017-01-04T22:00:00Z,44051,43923,22731,22731,128,17839,17838,19087,11944
2017-01-04T23:00:00Z,36863,36731,19030,19030,132,14948,14947,16217,9790
2017-01-05T00:00:00Z,31240,31189,15557,15557,51,13292,13291,14438,8482
2017-01-05T01:00:00Z,34515,34446,16871,16867,69,15124,15122,15836,8860
2017-01-05T02:00:00Z,37267,37239,17959,17959,28,16126,16125,17193,9330
2017-01-05T03:00:00Z,35530,35483,17404,17404,47,15374,15372,16801,9052
2017-01-05T04:00:00Z,29310,29307,15288,15288,3,12339,12338,13433,7772
2017-01-05T05:00:00Z,24738,24706,12568,12568,32,11688,11687,12533,6810
2017-01-05T06:00:00Z,34838,34837,16836,16836,1,15422,15421,16474,8726
2017-01-05T07:00:00Z,30905,30889,15336,15336,16,14895,14894,15831,8463
2017-01-05T08:00:00Z,40226,40218,19237,19237,8,18496,18495,19551,10519
